Custom_Time_Name,"Custom_Time_Code","Country Name","Country Code","Control of Corruption: Estimate [CC.EST]","Government Effectiveness: Estimate [GE.EST]","Political Stability and Absence of Violence/Terrorism: Estimate [PV.EST]","Regulatory Quality: Estimate [RQ.EST]","Rule of Law: Estimate [RL.EST]","Voice and Accountability: Estimate [VA.EST]"
Most Recent Value,"(Most Recent Value)","Eritrea","ERI","-1.316023(2018)","-1.727732(2018)","-0.6051562(2018)","-2.231222(2018)","-1.58643(2018)","-2.176343(2018)"
Most Recent Value,"(Most Recent Value)","Estonia","EST","1.506318(2018)","1.191938(2018)","0.5999668(2018)","1.562708(2018)","1.240627(2018)","1.21297(2018)"
Most Recent Value,"(Most Recent Value)","Eswatini","SWZ","-0.2178724(2018)","-0.6599468(2018)","-0.3086324(2018)","-0.6039193(2018)","-0.2485004(2018)","-1.33905(2018)"
Most Recent Value,"(Most Recent Value)","Ethiopia","ETH","-0.4861672(2018)","-0.6074697(2018)","-1.343246(2018)","-0.9736451(2018)","-0.4282891(2018)","-1.15887(2018)"
Most Recent Value,"(Most Recent Value)","Fiji","FJI","0.3809974(2018)","0.2595362(2018)","0.7425547(2018)","-0.2195376(2018)","-0.1286585(2018)","0.2166662(2018)"
Most Recent Value,"(Most Recent Value)","Finland","FIN","2.21243(2018)","1.984208(2018)","0.9249202(2018)","1.786545(2018)","2.046279(2018)","1.612387(2018)"
Most Recent Value,"(Most Recent Value)","France","FRA","1.316893(2018)","1.480526(2018)","0.1091348(2018)","1.173062(2018)","1.440087(2018)","1.179415(2018)"
Most Recent Value,"(Most Recent Value)","French Guiana","GUF","0.9525164(2018)","1.397863(2018)","0.5304107(2018)","1.304064(2018)","1.210384(2018)","1.305925(2018)"
Most Recent Value,"(Most Recent Value)","Gabon","GAB","-0.8512049(2018)","-0.8122834(2018)","-0.2475997(2018)","-0.8840587(2018)","-0.7061859(2018)","-0.9477494(2018)"
Most Recent Value,"(Most Recent Value)","Gambia, The","GMB","-0.4630391(2018)","-0.6234712(2018)","-0.0295531(2018)","-0.6317748(2018)","-0.4307549(2018)","-0.1971968(2018)"
Most Recent Value,"(Most Recent Value)","Georgia","GEO","0.7079911(2018)","0.6145709(2018)","-0.4264878(2018)","1.122732(2018)","0.3280484(2018)","0.2466903(2018)"
Most Recent Value,"(Most Recent Value)","Germany","DEU","1.946584(2018)","1.619633(2018)","0.6048951(2018)","1.749248(2018)","1.630446(2018)","1.422362(2018)"
Most Recent Value,"(Most Recent Value)","Ghana","GHA","-0.1149039(2018)","-0.2102704(2018)","0.0298971(2018)","-0.0800039(2018)","0.0718521(2018)","0.5787039(2018)"
Most Recent Value,"(Most Recent Value)","Greece","GRC","-0.0660259(2018)","0.3382609(2018)","0.0925857(2018)","0.2950006(2018)","0.1529743(2018)","0.8573366(2018)"
Most Recent Value,"(Most Recent Value)","Greenland","GRL","1.177301(2018)","0.8380827(2018)","1.939219(2018)","1.37654(2018)","1.738418(2018)","1.305925(2018)"
Most Recent Value,"(Most Recent Value)","Grenada","GRD","0.3765373(2018)","-0.2529525(2018)","0.9976301(2018)","-0.2930871(2018)","0.3104176(2018)","0.5344329(2018)"
Most Recent Value,"(Most Recent Value)","Guam","GUM","1.238614(2018)","0.2727026(2018)","0.6334171(2018)","0.082563(2018)","1.363964(2018)","0.7834459(2013)"
Most Recent Value,"(Most Recent Value)","Guatemala","GTM","-0.8228126(2018)","-0.6820061(2018)","-0.541353(2018)","-0.1955709(2018)","-1.050815(2018)","-0.3424338(2018)"
Most Recent Value,"(Most Recent Value)","Guinea","GIN","-1.041717(2018)","-0.9709232(2018)","-0.8766674(2018)","-0.7780002(2018)","-1.211506(2018)","-0.7536743(2018)"
Most Recent Value,"(Most Recent Value)","Guinea-Bissau","GNB","-1.533724(2018)","-1.48785(2018)","-0.6697532(2018)","-1.198666(2018)","-1.234043(2018)","-0.6663399(2018)"
Most Recent Value,"(Most Recent Value)","Guyana","GUY","-0.2266977(2018)","-0.2694839(2018)","-0.1750658(2018)","-0.5320596(2018)","-0.320109(2018)","0.2575835(2018)"
Most Recent Value,"(Most Recent Value)","Haiti","HTI","-1.265189(2018)","-1.909054(2018)","-0.6268144(2018)","-1.224258(2018)","-1.028031(2018)","-0.7454833(2018)"
Most Recent Value,"(Most Recent Value)","Honduras","HND","-0.6164857(2018)","-0.6206585(2018)","-0.550988(2018)","-0.4688137(2018)","-1.023039(2018)","-0.5083182(2018)"
Most Recent Value,"(Most Recent Value)","Hong Kong SAR, China","HKG","1.676441(2018)","1.903607(2018)","0.7943653(2018)","2.206004(2018)","1.771396(2018)","0.468593(2018)"
Most Recent Value,"(Most Recent Value)","Hungary","HUN","0.053347(2018)","0.4873109(2018)","0.7552119(2018)","0.6022686(2018)","0.555392(2018)","0.3183424(2018)"
Most Recent Value,"(Most Recent Value)","Iceland","ISL","1.843649(2018)","1.465655(2018)","1.412426(2018)","1.417764(2018)","1.719734(2018)","1.412682(2018)"
Most Recent Value,"(Most Recent Value)","India","IND","-0.186293(2018)","0.2830485(2018)","-0.9565214(2018)","-0.1836544(2018)","0.0262165(2018)","0.3788327(2018)"
Most Recent Value,"(Most Recent Value)","Indonesia","IDN","-0.2515447(2018)","0.1798754(2018)","-0.5334369(2018)","-0.0712725(2018)","-0.3149146(2018)","0.1797367(2018)"
Most Recent Value,"(Most Recent Value)","Iran, Islamic Rep.","IRN","-0.9588165(2018)","-0.4302173(2018)","-1.306763(2018)","-1.296409(2018)","-0.6936132(2018)","-1.317932(2018)"
Most Recent Value,"(Most Recent Value)","Iraq","IRQ","-1.399408(2018)","-1.320548(2018)","-2.55586(2018)","-1.218958(2018)","-1.759291(2018)","-0.987156(2018)"
Most Recent Value,"(Most Recent Value)","Ireland","IRL","1.547376(2018)","1.420338(2018)","1.030591(2018)","1.595356(2018)","1.464224(2018)","1.31875(2018)"
Most Recent Value,"(Most Recent Value)","Israel","ISR","0.7865694(2018)","1.208207(2018)","-0.9324778(2018)","1.247308(2018)","0.9939096(2018)","0.6511905(2018)"
Most Recent Value,"(Most Recent Value)","Italy","ITA","0.2356188(2018)","0.4138835(2018)","0.3111933(2018)","0.6714953(2018)","0.2467615(2018)","1.045518(2018)"
Most Recent Value,"(Most Recent Value)","Jamaica","JAM","-0.1643905(2018)","0.4967112(2018)","0.4869154(2018)","0.2784449(2018)","-0.2359448(2018)","0.6169987(2018)"
Most Recent Value,"(Most Recent Value)","Japan","JPN","1.424772(2018)","1.675817(2018)","1.059693(2018)","1.329213(2018)","1.534107(2018)","1.022638(2018)"
Most Recent Value,"(Most Recent Value)","Jersey, Channel Islands","JEY","1.102388(2018)","1.259951(2018)","1.273265(2018)","0.7180641(2018)","1.738418(2018)","1.305925(2018)"
Most Recent Value,"(Most Recent Value)","Jordan","JOR","0.1495421(2018)","0.112718(2018)","-0.3794051(2018)","0.0834205(2018)","0.2337911(2018)","-0.7017328(2018)"
Most Recent Value,"(Most Recent Value)","Kazakhstan","KAZ","-0.5017262(2018)","0.0217204(2018)","0.0004052(2018)","0.1406443(2018)","-0.4316052(2018)","-1.171871(2018)"
Most Recent Value,"(Most Recent Value)","Kenya","KEN","-0.8520129(2018)","-0.4108523(2018)","-1.164113(2018)","-0.2266058(2018)","-0.4110505(2018)","-0.3606543(2018)"
Most Recent Value,"(Most Recent Value)","Kiribati","KIR","0.3364136(2018)","-0.2764392(2018)","1.033781(2018)","-0.7703612(2018)","0.4933382(2018)","1.146016(2018)"
Most Recent Value,"(Most Recent Value)","Korea, Dem. People’s Rep.","PRK","-1.566256(2018)","-1.57276(2018)","-0.3516326(2018)","-2.344563(2018)","-1.634559(2018)","-2.202045(2018)"
Most Recent Value,"(Most Recent Value)","Korea, Rep.","KOR","0.6041095(2018)","1.182665(2018)","0.5449707(2018)","1.094949(2018)","1.23655(2018)","0.7960598(2018)"
Most Recent Value,"(Most Recent Value)","Kosovo","XKX","-0.5190393(2018)","-0.4283053(2018)","-0.6054888(2018)","-0.2767387(2018)","-0.3709781(2018)","-0.1200815(2018)"
Most Recent Value,"(Most Recent Value)","Kuwait","KWT","-0.2894283(2018)","-0.0878059(2018)","0.1102895(2018)","-0.0356316(2018)","0.2107496(2018)","-0.5891867(2018)"
Most Recent Value,"(Most Recent Value)","Kyrgyz Republic","KGZ","-0.9542972(2018)","-0.6115379(2018)","-0.5820286(2018)","-0.3499378(2018)","-0.9076821(2018)","-0.3742365(2018)"
Most Recent Value,"(Most Recent Value)","Lao PDR","LAO","-0.9826739(2018)","-0.672724(2018)","0.415007(2018)","-0.7918289(2018)","-0.8425543(2018)","-1.739436(2018)"
Most Recent Value,"(Most Recent Value)","Latvia","LVA","0.3285871(2018)","1.043452(2018)","0.4215345(2018)","1.189894(2018)","0.9569856(2018)","0.8133246(2018)"
Most Recent Value,"(Most Recent Value)","Lebanon","LBN","-1.108917(2018)","-0.6402023(2018)","-1.644891(2018)","-0.3416829(2018)","-0.7644128(2018)","-0.4990998(2018)"
Most Recent Value,"(Most Recent Value)","Lesotho","LSO","-0.1033081(2018)","-0.8609057(2018)","-0.2183286(2018)","-0.4965023(2018)","-0.3366604(2018)","0.0843929(2018)"
Most Recent Value,"(Most Recent Value)","Liberia","LBR","-0.8509958(2018)","-1.340831(2018)","-0.1924032(2018)","-0.9712892(2018)","-0.9890524(2018)","-0.0432927(2018)"
Most Recent Value,"(Most Recent Value)","Libya","LBY","-1.552711(2018)","-1.847037(2018)","-2.441388(2018)","-2.278996(2018)","-1.78583(2018)","-1.520825(2018)"
Most Recent Value,"(Most Recent Value)","Liechtenstein","LIE","2.00771(2018)","1.739037(2018)","1.484191(2018)","1.532828(2018)","1.678037(2018)","1.319968(2018)"
Most Recent Value,"(Most Recent Value)","Lithuania","LTU","0.4978957(2018)","1.072398(2018)","0.752799(2018)","1.113281(2018)","0.9573604(2018)","0.9233596(2018)"
Most Recent Value,"(Most Recent Value)","Luxembourg","LUX","2.087755(2018)","1.778221(2018)","1.373404(2018)","1.757206(2018)","1.810886(2018)","1.566906(2018)"
Most Recent Value,"(Most Recent Value)","Macao SAR, China","MAC","0.7156818(2018)","1.204366(2018)","1.262964(2018)","1.609498(2018)","1.009767(2018)","-0.0506621(2018)"
Most Recent Value,"(Most Recent Value)","Madagascar","MDG","-1.000727(2018)","-1.153121(2018)","-0.5190363(2018)","-0.7334517(2018)","-0.8139714(2018)","-0.3094514(2018)"
Most Recent Value,"(Most Recent Value)","Malawi","MWI","-0.7433892(2018)","-0.7286705(2018)","-0.3250225(2018)","-0.6708331(2018)","-0.3802995(2018)","-0.058092(2018)"
Most Recent Value,"(Most Recent Value)","Malaysia","MYS","0.3139765(2018)","1.075348(2018)","0.2373901(2018)","0.682474(2018)","0.6233374(2018)","-0.083688(2018)"
Most Recent Value,"(Most Recent Value)","Maldives","MDV","-0.8930011(2018)","-0.4884941(2018)","0.0950901(2018)","-0.4830082(2018)","-0.5495973(2018)","-0.6604531(2018)"
Most Recent Value,"(Most Recent Value)","Mali","MLI","-0.695331(2018)","-1.004638(2018)","-2.05126(2018)","-0.5496903(2018)","-0.7977482(2018)","-0.3091827(2018)"
Most Recent Value,"(Most Recent Value)","Malta","MLT","0.5799018(2018)","0.968796(2018)","1.294193(2018)","1.336778(2018)","1.053974(2018)","1.123317(2018)"
Most Recent Value,"(Most Recent Value)","Marshall Islands","MHL","-0.0740994(2018)","-1.554391(2018)","0.8627383(2018)","-1.138546(2018)","-0.0471537(2018)","1.146016(2018)"
Most Recent Value,"(Most Recent Value)","Martinique","MTQ","1.238614(2018)","1.108839(2018)","0.9858225(2018)","1.187921(2018)","0.8764146(2018)","0.5621245(2013)"
Most Recent Value,"(Most Recent Value)","Mauritania","MRT","-0.8072538(2018)","-0.7266325(2018)","-0.6677783(2018)","-0.8108506(2018)","-0.6859449(2018)","-0.8540774(2018)"
Most Recent Value,"(Most Recent Value)","Mauritius","MUS","0.2696345(2018)","0.8760849(2018)","0.872838(2018)","1.027193(2018)","0.7796614(2018)","0.7605995(2018)"
Most Recent Value,"(Most Recent Value)","Mexico","MEX","-0.8628517(2018)","-0.153388(2018)","-0.572437(2018)","0.1509804(2018)","-0.6737109(2018)","-0.0059178(2018)"
Most Recent Value,"(Most Recent Value)","Micronesia, Fed. Sts.","FSM","0.6930298(2018)","-0.1488629(2018)","1.340414(2018)","-0.9598854(2018)","-0.0186115(2018)","1.146016(2018)"
Most Recent Value,"(Most Recent Value)","Moldova","MDA","-0.7267502(2018)","-0.4665205(2018)","-0.3490165(2018)","-0.0490203(2018)","-0.413572(2018)","-0.1066419(2018)"
Most Recent Value,"(Most Recent Value)","Monaco","MCO","","","1.612102(2018)","","0.9354892(2013)","0.660958(2018)"
Most Recent Value,"(Most Recent Value)","Mongolia","MNG","-0.4277897(2018)","-0.2333477(2018)","0.7887995(2018)","-0.0298508(2018)","-0.2664937(2018)","0.2625469(2018)"
Most Recent Value,"(Most Recent Value)","Montenegro","MNE","0.0227987(2018)","0.1311615(2018)","0.1080209(2018)","0.3625335(2018)","0.0987423(2018)","0.0801339(2018)"
Most Recent Value,"(Most Recent Value)","Morocco","MAR","-0.2164034(2018)","-0.2092959(2018)","-0.3318862(2018)","-0.2429393(2018)","-0.1384849(2018)","-0.6630427(2018)"
Most Recent Value,"(Most Recent Value)","Mozambique","MOZ","-0.7813797(2018)","-0.8742813(2018)","-0.7836707(2018)","-0.7263409(2018)","-1.043689(2018)","-0.4674458(2018)"
Most Recent Value,"(Most Recent Value)","Myanmar","MMR","-0.588294(2018)","-1.068652(2018)","-1.309011(2018)","-0.7531742(2018)","-1.032579(2018)","-0.8873216(2018)"
Most Recent Value,"(Most Recent Value)","Namibia","NAM","0.3399599(2018)","0.106442(2018)","0.6537775(2018)","-0.052499(2018)","0.2449811(2018)","0.4862734(2018)"
Most Recent Value,"(Most Recent Value)","Nauru","NRU","-0.5539093(2018)","-0.076744(2018)","0.5126343(2018)","-0.0467818(2018)","-0.6908471(2018)","0.660958(2018)"
Most Recent Value,"(Most Recent Value)","Nepal","NPL","-0.6736505(2018)","-0.9023383(2018)","-0.6251459(2018)","-0.7456533(2018)","-0.4780528(2018)","-0.1319581(2018)"
Most Recent Value,"(Most Recent Value)","Netherlands","NLD","2.009026(2018)","1.850466(2018)","0.8682934(2018)","2.01824(2018)","1.816361(2018)","1.596444(2018)"
Most Recent Value,"(Most Recent Value)","Netherlands Antilles","ANT","0.7853686(2013)","0.7527696(2013)","0.6764035(2013)","0.8467881(2013)","0.848269(2013)","0.3408031(2013)"
Most Recent Value,"(Most Recent Value)","New Zealand","NZL","2.174696(2018)","1.670251(2018)","1.541482(2018)","1.978822(2018)","1.876294(2018)","1.623501(2018)"
Most Recent Value,"(Most Recent Value)","Nicaragua","NIC","-1.06336(2018)","-0.8024699(2018)","-0.8013505(2018)","-0.6863752(2018)","-1.039721(2018)","-1.083065(2018)"
Most Recent Value,"(Most Recent Value)","Niger","NER","-0.5798146(2018)","-0.7660425(2018)","-1.260566(2018)","-0.6404533(2018)","-0.5802284(2018)","-0.5845156(2018)"
Most Recent Value,"(Most Recent Value)","Nigeria","NGA","-1.04489(2018)","-1.022591(2018)","-2.1927(2018)","-0.8825297(2018)","-0.8809231(2018)","-0.4079276(2018)"
Most Recent Value,"(Most Recent Value)","Niue","NIU","-0.4240158(2013)","-0.9940472(2013)","1.322361(2010)","-0.921079(2013)","-0.7874305(2013)","-0.4640228(2013)"
Most Recent Value,"(Most Recent Value)","North Macedonia","MKD","-0.3648161(2018)","0.0902431(2018)","-0.1966761(2018)","0.5249679(2018)","-0.2837728(2018)","-0.0092953(2018)"
Most Recent Value,"(Most Recent Value)","Norway","NOR","2.089907(2018)","1.887119(2018)","1.153804(2018)","1.75844(2018)","1.965631(2018)","1.732547(2018)"
Most Recent Value,"(Most Recent Value)","Oman","OMN","0.2460828(2018)","0.1865782(2018)","0.6545912(2018)","0.3100107(2018)","0.4648626(2018)","-1.026107(2018)"
Most Recent Value,"(Most Recent Value)","Pakistan","PAK","-0.7907338(2018)","-0.6338443(2018)","-2.267435(2018)","-0.6444417(2018)","-0.6730217(2018)","-0.8006933(2018)"
Most Recent Value,"(Most Recent Value)","Palau","PLW","-0.5539093(2018)","-0.0121242(2018)","0.8627383(2018)","-0.0116495(2018)","0.3065613(2018)","1.146016(2018)"
Most Recent Value,"(Most Recent Value)","Panama","PAN","-0.567027(2018)","-0.019452(2018)","0.2771547(2018)","0.4016129(2018)","-0.0592212(2018)","0.5805006(2018)"
